"title","locality","price","url","image"
"For sale apartment 1+kt 22 m²","Freyova, Praha 9 - Vysočany","4 250 000 CZK","https://sreality.cz/en/detail/sale/flat/1+kt/praha-vysocany-freyova/2261935180","https://d18-a.sdn.cz/d_18/c_img_QI_Jj/xigb9w.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 3+1 72 m²","Niederleho, Praha 10 - Malešice","7 890 000 CZK","https://sreality.cz/en/detail/sale/flat/3+1/praha-malesice-niederleho/4037748300","https://d18-a.sdn.cz/d_18/c_img_QO_K4/heHDCm.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 2+1 68 m²","Tunelářů, Praha 5 - Zbraslav","6 890 000 CZK","https://sreality.cz/en/detail/sale/flat/2+1/praha-zbraslav-tunelaru/2420573260","https://d18-a.sdn.cz/d_18/c_img_QK_Jl/9RBtzH.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 3+kt 68 m²","Zenklova, Praha 8 - Libeň","Information about price at agency","https://sreality.cz/en/detail/sale/flat/3+kt/praha-liben-zenklova/3998852428","https://d18-a.sdn.cz/d_18/c_img_QN_KA/1A3cDX.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 2+kt 64 m²","Vojenova, Praha 8 - Libeň","9 487 900 CZK","https://sreality.cz/en/detail/sale/flat/2+kt/praha-liben-vojenova/2223150412","https://d18-a.sdn.cz/d_18/c_img_QI_Jk/WqVBu3y.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 3+kt 116 m²","Nerudova, Františkovy Lázně - Horní Lomany","4 290 000 CZK","https://sreality.cz/en/detail/sale/flat/3+kt/frantiskovy-lazne-horni-lomany-nerudova/1141863500","https://d18-a.sdn.cz/d_18/c_img_QP_K7/OwyBcth.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 2+kt 52 m²","Gollové, Praha 5 - Hlubočepy","6 690 000 CZK","https://sreality.cz/en/detail/sale/flat/2+kt/praha-hlubocepy-gollove/2196546892","https://d18-a.sdn.cz/d_18/c_img_QJ_Jo/26VBvAP.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 5+kt 149 m²","Nerudova, Františkovy Lázně - Horní Lomany","5 650 000 CZK","https://sreality.cz/en/detail/sale/flat/5+kt/frantiskovy-lazne-horni-lomany-nerudova/2265936972","https://d18-a.sdn.cz/d_18/c_img_QK_Jo/dKykmn.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 2+1 63 m²","Na Vyhlídce, Děčín - Děčín IX-Bynov","1 600 000 CZK","https://sreality.cz/en/detail/sale/flat/2+1/decin-decin-ix-bynov-na-vyhlidce/3892233292","https://d18-a.sdn.cz/d_18/c_img_QJ_Jg/rt0CCe7.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 3+1 70 m²","Kálikova, Praha 5 - Stodůlky","6 250 000 CZK","https://sreality.cz/en/detail/sale/flat/3+1/praha-stodulky-kalikova/2211858252","https://d18-a.sdn.cz/d_18/c_img_QR_MH/Wj6CKa.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 3+kt 88 m²","Tovární, Olomouc - Hodolany","6 700 000 CZK","https://sreality.cz/en/detail/sale/flat/3+kt/olomouc-hodolany-tovarni/1521653068","https://d18-a.sdn.cz/d_18/c_img_QO_K4/HdrDsf.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
